DATE,sex,age,education,unert,obs_status.label
2001/1/1,Total,Total,Total,4.65,
2001/1/1,Total,Total,Less than basic,7.42,Unreliable
2001/1/1,Total,Total,Basic,10.72,
2001/1/1,Total,Total,Intermediate,5.66,
2001/1/1,Total,Total,Advanced,2.09,
2001/1/1,Total,16-24,Total,10.26,
2001/1/1,Total,16-24,Less than basic,,Unreliable
2001/1/1,Total,16-24,Basic,21.67,
2001/1/1,Total,16-24,Intermediate,10.13,
2001/1/1,Total,16-24,Advanced,5.06,
2001/1/1,Total,25-54,Total,3.73,
2001/1/1,Total,25-54,Less than basic,,Unreliable
2001/1/1,Total,25-54,Basic,8.52,
2001/1/1,Total,25-54,Intermediate,4.67,
2001/1/1,Total,25-54,Advanced,1.93,
2001/1/1,Total,55-64,Total,3.23,
2001/1/1,Total,55-64,Less than basic,,Unreliable
2001/1/1,Total,55-64,Basic,8.09,
2001/1/1,Total,55-64,Intermediate,3.6,
2001/1/1,Total,55-64,Advanced,1.79,
2001/1/1,Total,65+,Total,2.75,
2001/1/1,Total,65+,Basic,3.19,Unreliable
2001/1/1,Total,65+,Intermediate,3.06,
2001/1/1,Total,65+,Advanced,2.05,Unreliable
2001/1/1,Male,Total,Total,4.97,
2001/1/1,Male,Total,Less than basic,7.23,Unreliable
2001/1/1,Male,Total,Basic,9.8,
2001/1/1,Male,Total,Intermediate,6.17,
2001/1/1,Male,Total,Advanced,2.08,
2001/1/1,Male,16-24,Total,11.71,
2001/1/1,Male,16-24,Less than basic,,Unreliable
2001/1/1,Male,16-24,Basic,19.93,
2001/1/1,Male,16-24,Intermediate,11.52,
2001/1/1,Male,16-24,Advanced,6.27,
2001/1/1,Male,25-54,Total,3.83,
2001/1/1,Male,25-54,Less than basic,,Unreliable
2001/1/1,Male,25-54,Basic,7.35,
2001/1/1,Male,25-54,Intermediate,4.88,
2001/1/1,Male,25-54,Advanced,1.89,
2001/1/1,Male,55-64,Total,3.68,
2001/1/1,Male,55-64,Less than basic,,Unreliable
2001/1/1,Male,55-64,Basic,8.15,
2001/1/1,Male,55-64,Intermediate,4.36,
2001/1/1,Male,55-64,Advanced,1.88,
2001/1/1,Male,65+,Total,2.92,
2001/1/1,Male,65+,Basic,,Unreliable
2001/1/1,Male,65+,Intermediate,3.77,
2001/1/1,Male,65+,Advanced,1.59,Unreliable
2001/1/1,Female,Total,Total,4.29,
2001/1/1,Female,Total,Less than basic,,Unreliable
2001/1/1,Female,Total,Basic,12.37,
2001/1/1,Female,Total,Intermediate,5.08,
2001/1/1,Female,Total,Advanced,2.11,
2001/1/1,Female,16-24,Total,8.68,
2001/1/1,Female,16-24,Less than basic,,Unreliable
2001/1/1,Female,16-24,Basic,25.45,
2001/1/1,Female,16-24,Intermediate,8.63,
2001/1/1,Female,16-24,Advanced,4.15,
2001/1/1,Female,25-54,Total,3.62,
2001/1/1,Female,25-54,Less than basic,,Unreliable
2001/1/1,Female,25-54,Basic,10.44,
2001/1/1,Female,25-54,Intermediate,4.42,
2001/1/1,Female,25-54,Advanced,1.98,
2001/1/1,Female,55-64,Total,2.7,
2001/1/1,Female,55-64,Less than basic,,Unreliable
2001/1/1,Female,55-64,Basic,7.98,Unreliable
2001/1/1,Female,55-64,Intermediate,2.82,
2001/1/1,Female,55-64,Advanced,1.66,
2001/1/1,Female,65+,Total,2.51,
2001/1/1,Female,65+,Basic,,Unreliable
2001/1/1,Female,65+,Intermediate,2.27,Unreliable
2001/1/1,Female,65+,Advanced,2.88,Unreliable
2001/2/1,Total,Total,Total,4.56,
2001/2/1,Total,Total,Less than basic,7.29,Unreliable
2001/2/1,Total,Total,Basic,11.09,
2001/2/1,Total,Total,Intermediate,5.61,
2001/2/1,Total,Total,Advanced,1.91,
2001/2/1,Total,16-24,Total,10.26,
2001/2/1,Total,16-24,Less than basic,,Unreliable
2001/2/1,Total,16-24,Basic,22.03,
2001/2/1,Total,16-24,Intermediate,10.33,
2001/2/1,Total,16-24,Advanced,3.69,
2001/2/1,Total,25-54,Total,3.62,
2001/2/1,Total,25-54,Less than basic,8.33,Unreliable
2001/2/1,Total,25-54,Basic,8.83,
2001/2/1,Total,25-54,Intermediate,4.55,
2001/2/1,Total,25-54,Advanced,1.81,
2001/2/1,Total,55-64,Total,3.11,
2001/2/1,Total,55-64,Basic,7.7,
2001/2/1,Total,55-64,Intermediate,3.56,
2001/2/1,Total,55-64,Advanced,1.62,
2001/2/1,Total,65+,Total,2.61,
2001/2/1,Total,65+,Basic,,Unreliable
2001/2/1,Total,65+,Intermediate,3.12,
2001/2/1,Total,65+,Advanced,2.01,Unreliable
2001/2/1,Male,Total,Total,4.88,
2001/2/1,Male,Total,Less than basic,9.22,Unreliable
2001/2/1,Male,Total,Basic,10.1,
2001/2/1,Male,Total,Intermediate,6.14,
2001/2/1,Male,Total,Advanced,1.87,
