Date,exalus,exbzus,excaus,exchus,exdnus,exhkus,exinus,exjpus,exkous,exmaus,exmxus,exnzus,exnous,exsius,exsfus,exslus,exsdus,exszus,extaus,exthus,exukus,exvzus,exeuus
1-Jan,1.8012 ,1.9561 ,1.5032 ,8.2776 ,7.9629 ,7.7998 ,46.6100 ,116.6700 ,1272.6300 ,3.8000 ,9.7690 ,2.2512 ,8.7817 ,1.7380 ,7.7786 ,85.8330 ,9.4910 ,1.6305 ,32.6730 ,43.1490 ,0.6768 ,0.7000 ,1.0666 
1-Feb,1.8734 ,2.0060 ,1.5216 ,8.2771 ,8.1103 ,7.7999 ,46.5600 ,116.2300 ,1252.8500 ,3.8000 ,9.7110 ,2.3015 ,8.9180 ,1.7435 ,7.8214 ,87.1360 ,9.7518 ,1.6686 ,32.3300 ,42.6650 ,0.6885 ,0.7000 ,1.0864 
1-Mar,1.9877 ,2.0955 ,1.5587 ,8.2775 ,8.2229 ,7.7999 ,46.6500 ,121.5100 ,1291.4100 ,3.8000 ,9.5990 ,2.3912 ,8.9859 ,1.7732 ,7.8980 ,85.7300 ,10.0516 ,1.6908 ,32.6220 ,43.9880 ,0.6923 ,0.7100 ,1.1010 
1-Apr,1.9936 ,2.1934 ,1.5578 ,8.2771 ,8.3657 ,7.7993 ,46.7900 ,123.7700 ,1327.7600 ,3.8000 ,9.3280 ,2.4576 ,9.0920 ,1.8118 ,8.0783 ,88.2050 ,10.2035 ,1.7131 ,32.9410 ,45.4940 ,0.6970 ,0.7100 ,1.1204 
1-May,1.9234 ,2.2926 ,1.5411 ,8.2770 ,8.5256 ,7.7999 ,46.9500 ,121.7700 ,1298.9000 ,3.8000 ,9.1480 ,2.3708 ,9.1380 ,1.8141 ,7.9789 ,90.8480 ,10.3513 ,1.7528 ,33.2030 ,45.5250 ,0.7010 ,0.7100 ,1.1425 
1-Jun,1.9305 ,2.3788 ,1.5245 ,8.2770 ,8.7397 ,7.7997 ,47.0400 ,122.3500 ,1295.0500 ,3.8000 ,9.0880 ,2.4149 ,9.3014 ,1.8170 ,8.0595 ,90.3710 ,10.7930 ,1.7856 ,34.3280 ,45.2630 ,0.7133 ,0.7200 ,1.1723 
1-Jul,1.9650 ,2.4731 ,1.5308 ,8.2769 ,8.6442 ,7.7999 ,47.1800 ,124.5000 ,1305.2400 ,3.8000 ,9.1680 ,2.4504 ,9.2566 ,1.8233 ,8.2094 ,90.3140 ,10.7603 ,1.7570 ,34.8210 ,45.6410 ,0.7068 ,0.7200 ,1.1608 
1-Aug,1.9062 ,2.5122 ,1.5399 ,8.2770 ,8.2632 ,7.7997 ,47.1700 ,121.3700 ,1285.6500 ,3.8000 ,9.1330 ,2.3180 ,8.9427 ,1.7613 ,8.3115 ,89.9940 ,10.3329 ,1.6808 ,34.6390 ,44.9070 ,0.6958 ,0.7300 ,1.1094 
1-Sep,1.9857 ,2.6767 ,1.5679 ,8.2768 ,8.1654 ,7.7997 ,47.7500 ,118.6100 ,1293.8300 ,3.8000 ,9.4250 ,2.3964 ,8.7691 ,1.7494 ,8.6756 ,90.1570 ,10.6353 ,1.6338 ,34.5850 ,44.3310 ,0.6832 ,0.7400 ,1.0972 
1-Oct,1.9833 ,2.7408 ,1.5717 ,8.2768 ,8.2186 ,7.7999 ,48.0500 ,121.4500 ,1302.3600 ,3.8001 ,9.3390 ,2.4160 ,8.8329 ,1.8113 ,9.2804 ,90.9540 ,10.5661 ,1.6357 ,34.5830 ,44.7500 ,0.6896 ,0.7400 ,1.1050 
1-Nov,1.9361 ,2.5481 ,1.5922 ,8.2769 ,8.3832 ,7.7996 ,48.0400 ,122.4100 ,1282.1000 ,3.8000 ,9.2250 ,2.4050 ,8.9296 ,1.8295 ,9.7388 ,92.6700 ,10.6117 ,1.6509 ,34.4980 ,44.4110 ,0.6966 ,0.7500 ,1.1257 
1-Dec,1.9463 ,2.3635 ,1.5788 ,8.2764 ,8.3526 ,7.7989 ,47.9300 ,127.5900 ,1292.2900 ,3.8000 ,9.1570 ,2.4056 ,8.9713 ,1.8382 ,11.6761 ,93.1940 ,10.5753 ,1.6566 ,34.6820 ,43.9520 ,0.6938 ,0.7500 ,1.1221 
2-Jan,1.9342 ,2.3799 ,1.5997 ,8.2771 ,8.4183 ,7.7989 ,48.3500 ,132.6800 ,1316.3400 ,3.8000 ,9.1640 ,2.3557 ,8.9684 ,1.8394 ,11.6258 ,93.4730 ,10.4561 ,1.6709 ,35.0270 ,44.0360 ,0.6982 ,0.7600 ,1.1322 
2-Feb,1.9501 ,2.4242 ,1.5964 ,8.2767 ,8.5343 ,7.7996 ,48.7200 ,133.6400 ,1320.5500 ,3.8002 ,9.1050 ,2.3883 ,8.9492 ,1.8312 ,11.4923 ,93.6500 ,10.5501 ,1.6970 ,35.0730 ,43.8540 ,0.7029 ,0.9000 ,1.1485 
2-Mar,1.9026 ,2.3450 ,1.5877 ,8.2773 ,8.4795 ,7.7997 ,48.7700 ,131.0600 ,1322.9000 ,3.8000 ,9.0640 ,2.3079 ,8.8072 ,1.8295 ,11.4863 ,94.9030 ,10.3324 ,1.6743 ,35.0200 ,43.4150 ,0.7027 ,0.9200 ,1.1408 
2-Apr,1.8685 ,2.3227 ,1.5815 ,8.2772 ,8.3942 ,7.8000 ,48.9400 ,130.7700 ,1318.0900 ,3.8000 ,9.1650 ,2.2584 ,8.6102 ,1.8285 ,11.0832 ,96.0300 ,10.3070 ,1.6542 ,34.9170 ,43.4420 ,0.6930 ,0.8700 ,1.1287 
2-May,1.8188 ,2.4753 ,1.5502 ,8.2770 ,8.1098 ,7.7994 ,49.0200 ,126.3800 ,1262.2000 ,3.8000 ,9.5100 ,2.1692 ,8.2050 ,1.8004 ,10.1615 ,96.3180 ,10.0642 ,1.5889 ,34.4540 ,42.8170 ,0.6850 ,0.9900 ,1.0905 
2-Jun,1.7599 ,2.7144 ,1.5318 ,8.2767 ,7.7775 ,7.8000 ,48.9800 ,123.2900 ,1219.7000 ,3.8000 ,9.7670 ,2.0467 ,7.7533 ,1.7831 ,10.1841 ,96.4080 ,9.5376 ,1.5399 ,33.8890 ,42.1600 ,0.6740 ,1.2100 ,1.0459 
2-Jul,1.8057 ,2.9414 ,1.5456 ,8.2768 ,7.4807 ,7.8000 ,48.7900 ,117.9000 ,1179.9900 ,3.8000 ,9.7790 ,2.0794 ,7.4694 ,1.7524 ,10.1032 ,96.2660 ,9.3474 ,1.4718 ,33.2720 ,41.2570 ,0.6425 ,1.3200 ,1.0065 
2-Aug,1.8474 ,3.1082 ,1.5694 ,8.2767 ,7.5948 ,7.8000 ,48.6200 ,118.9900 ,1197.5100 ,3.8000 ,9.8390 ,2.1575 ,7.6042 ,1.7553 ,10.5878 ,96.2810 ,9.4610 ,1.4972 ,33.8840 ,42.1930 ,0.6507 ,1.3800 ,1.0224 
