DATE,JTSJOL,JTSLDL,BBKMGDP,CORESTICKM159SFRBATL,FEDFUNDS
2001/1/1,5234,2220,-3.387358401,2.8896431,5.98
2001/2/1,5097,1855,-1.498383321,2.9893325,5.49
2001/3/1,4762,2133,2.55489593,2.9711853,5.31
2001/4/1,4615,1883,4.066002986,3.1007641,4.8
2001/5/1,4425,2029,3.911651451,3.0843327,4.21
2001/6/1,4361,2015,-1.34364476,3.2118098,3.97
2001/7/1,4447,2038,-3.287200314,3.2190557,3.77
2001/8/1,4024,2011,-1.90690658,3.2635089,3.65
2001/9/1,4071,2107,-2.00347675,3.3990087,3.07
2001/10/1,3707,2319,2.791732325,3.4934371,2.49
2001/11/1,3775,2255,2.117645693,3.6122717,2.09
2001/12/1,3677,1922,3.289433224,3.5754587,1.82
2002/1/1,3699,1907,4.060915796,3.5684398,1.73
2002/2/1,3436,1978,3.40898978,3.5387817,1.74
2002/3/1,3612,1883,1.988309068,3.480145,1.73
2002/4/1,3471,1956,2.753540458,3.4775061,1.75
2002/5/1,3457,1967,1.94045548,3.4632677,1.75
2002/6/1,3412,2015,2.577475516,3.2512149,1.75
2002/7/1,3367,2102,1.360474353,3.2740984,1.73
2002/8/1,3517,1923,1.682838888,3.1567969,1.74
2002/9/1,3301,2022,-0.067366496,3.0374651,1.75
2002/10/1,3479,1935,-0.306205748,2.9477485,1.75
2002/11/1,3514,1944,1.982534332,2.8341831,1.34
2002/12/1,3169,2007,0.111308331,2.8018315,1.24
2003/1/1,3441,2109,3.326408419,2.7875531,1.24
2003/2/1,3229,2015,1.700788467,2.7046594,1.26
2003/3/1,3099,1949,2.964778362,2.6277872,1.25
2003/4/1,3108,1998,2.253232796,2.4593491,1.26
2003/5/1,3289,2072,5.258045353,2.3483407,1.26
2003/6/1,3390,2076,7.119807451,2.27155,1.22
2003/7/1,2981,2062,7.48316174,2.237208,1.01
2003/8/1,3190,2162,5.681036007,2.1655338,1.03
2003/9/1,3091,1932,6.217314391,2.1842475,1.01
2003/10/1,3305,1969,4.497227607,2.1611133,1.01
2003/11/1,3324,1951,3.882478872,2.0365931,1.0
2003/12/1,3414,2007,1.929710571,1.976213,0.98
2004/1/1,3424,2037,1.21254597,1.9607229,1.0
2004/2/1,3532,1985,2.552513313,2.0481367,1.01
2004/3/1,3525,2065,4.066089803,2.1370611,1.0
2004/4/1,3511,2010,2.251185799,2.2577613,1.0
